metric	baseline_8e9c9a2	final_runtime_table
shots	100000	100000
peak_logical_qubits	1151	1162
average_executed_toffoli	1299440.793	1684160.924
q_times_t	1495656352.743	1956994993.688
identity_rows	2	2
classical_failures	154	151
phase_failures	115	117
ancilla_failures	0	0
any_failures	192	191
any_failure_rate	0.00192	0.00191
wilson_95_lower	0.00166714	0.00165785
wilson_95_upper	0.00221112	0.00220042
identity_any_failures	2	0
paired_both_any	162	162
paired_baseline_only_any	30	0
paired_final_only_any	0	29
paired_neither_any	99779	99779
paired_both_classical	151	151
paired_baseline_only_classical	3	0
paired_final_only_classical	0	0
paired_both_phase	50	50
paired_baseline_only_phase	65	0
paired_final_only_phase	0	67
