submission,submission_uuid,source_commit,submission_commit,solver,api_status,promotion_status,q,t,qt,created_at,updated_at,note_validation_evidence,note_evidence_excerpt
b6f2b0a,b6f2b0a5-2ab7-43be-9031-6fcfb1cf1784,e6d9fa95ab81a3414517030c974e75349912e7ca,e6d9fa95ab81a3414517030c974e75349912e7ca,nasqret,rejected,,825,489161900,403558567500,2026-06-26T15:47:25.659Z,2026-06-26T19:11:37.185Z,True,"The committed-support audit covered all 9,024 draws, 18,048 inversion factors, | 9,024 Fiat--Shamir-derived tests with zero classical mismatches, zero | phase-garbage batches, and zero ancilla-garbage batches. It measured Q825,"
f1d8707,f1d87075-cbf0-40d6-bf4d-be6bca2d957a,eccd1c49a50ebd072d08313d09e90bca4ea4a320,eccd1c49a50ebd072d08313d09e90bca4ea4a320,nasqret,rejected,,826,479337428,395932715528,2026-06-25T15:37:43.740Z,2026-06-25T15:57:03.372Z,True,"support audit `92661` accepted all 9,024 draws. | Independently isolated WMICluster trusted replay `92662` completed all 9,024 | Fiat--Shamir-derived tests with zero classical mismatches, zero phase-garbage | batches, and zero ancilla-garbage batches. It measured Q826, average and"
39a9b5f,39a9b5ff-3649-42bf-8ff3-9e7256605196,285741885e944a350fb5bfc22cbe0d5927abea0a,285741885e944a350fb5bfc22cbe0d5927abea0a,nasqret,rejected,,828,448102916,371029214448,2026-06-25T06:14:05.020Z,2026-06-25T06:32:22.895Z,True,"evaluator job `92246` completed all 9,024 Fiat-Shamir-derived tests with zero | classical-output mismatches, zero phase-garbage batches, and zero | primary challenge Q*T record. The 9,024-shot result is finite challenge"
05f3483,05f34834-8aae-42c1-87b6-7631dc33693b,7386c442313bec0ad1a5b28531386020994a1702,7386c442313bec0ad1a5b28531386020994a1702,nasqret,rejected,,837,402545932,336930945084,2026-06-24T12:48:28.577Z,2026-06-24T13:05:48.897Z,True,"`91279` then completed all 9,024 Fiat-Shamir-derived tests with zero classical, | Pareto frontier rather than the primary Q*T record. The 9,024-shot result is"
425ac95,425ac958-88d5-45cd-a020-fa966dbb036a,ff5c3d638c64b9114fe41ae49f5765f7401443fe,ff5c3d638c64b9114fe41ae49f5765f7401443fe,gnuchev,rejected,,947,61946637,58663465239,2026-06-22T03:05:25.769Z,2026-06-22T03:12:41.823Z,True,"- The PZ GPU filter was used only as a candidate source; support-clean candidates were not treated as wins until the trusted evaluator returned 0/0/0. | - tested shots: 9,024/9,024 | - classical mismatches: 0 | - phase-garbage batches: 0"
a3b0148,a3b01488-d4b8-496d-bccd-8f817b4710a5,a203fac0f49819743fa41c4016f390d8d854fac5,a203fac0f49819743fa41c4016f390d8d854fac5,nasqret,rejected,,948,54781961,51933299028,2026-06-21T18:41:07.914Z,2026-06-21T18:46:51.593Z,True,"- trusted WMICluster evaluation: 9,024/9,024 tests, with zero classical, | and a second 9,024/9,024 result with zero classical, phase, or ancilla | a third 9,024/9,024 result with zero classical, phase, or ancilla failures; | harness, with the same operation-stream hash, metrics, and `0/0/0` result."
84e5896,84e5896b-8a84-4368-897c-7dcc0e0c995f,2a17a4b6a990e5ec7118e90ed88b25bba7253c53,2a17a4b6a990e5ec7118e90ed88b25bba7253c53,nasqret,rejected,,965,34069641,32877203565,2026-06-18T08:28:46.643Z,2026-06-18T08:34:01.935Z,True,"- trusted WMICluster validation on job `70510`: `9,024/9,024` challenge tests | - classical mismatches: `0`; | - phase-garbage batches: `0`; | - ancilla-garbage batches: `0`;"
53dc92c,53dc92c5-4b61-4c0a-848c-9d7954bbfa1a,d37c5185d7602545b8586c0301d98aac34ee3129,d37c5185d7602545b8586c0301d98aac34ee3129,jieyilong,rejected,,973,28328177,27563316221,2026-06-18T03:44:35.618Z,2026-06-18T03:48:18.887Z,True,"- Official `ecdsafail run` result: 9024/9024 shots OK, classical/phase/ancilla = `0/0/0`."
f19e8a1,f19e8a1b-9335-4b53-aded-e65e52296a1d,bea70730d25e4551f9020f5fdbfbda22cf9002bd,bea70730d25e4551f9020f5fdbfbda22cf9002bd,gnuchev,rejected,,975,27600081,26910078975,2026-06-21T17:44:23.854Z,2026-06-21T17:48:05.204Z,True,"- Codex independently rebuilt the source locally from the committed defaults, regenerated `ops.bin`, and ran the trusted evaluator over all 9024 challenge shots. | - Trusted local result for nonce `2001699`: `0 classical / 0 phase / 0 ancilla`. | tested shots            : 9024 | classical mismatches    : 0"
1c0e0e9,1c0e0e91-de6a-4348-bd4a-3b6351fdc70b,765ef38cd8ce99a3e3800e98a8a60db954d35b8f,765ef38cd8ce99a3e3800e98a8a60db954d35b8f,jieyilong,rejected,,1133,1460511,1654758963,2026-06-27T23:20:43.204Z,2026-06-27T23:22:24.299Z,True,cls / pha / anc = 0 / 0 / 0 over 9024 Fiat-Shamir shots
3d9ce59,3d9ce591-8f26-4b76-8abf-0d41728e3939,370fc319832b78e58d1e139174b58d4a627bddd3,370fc319832b78e58d1e139174b58d4a627bddd3,jieyilong,rejected,,1141,1423723,1624467943,2026-06-24T05:21:53.167Z,2026-06-24T05:23:49.649Z,True,cls/pha/anc = 0 / 0 / 0 | tested shots            : 9024 | classical mismatches    : 0 | phase-garbage batches   : 0
3ab4f86,3ab4f864-67ae-4aea-957b-bca4e5bd53b4,0cbc2d710814871635ba96463cca47642e7b5899,0cbc2d710814871635ba96463cca47642e7b5899,jieyilong,rejected,,1142,1415790,1616832180,2026-06-24T02:51:21.960Z,2026-06-24T02:53:03.959Z,True,"Result from stock eval, env-less source, all 9024 Fiat-Shamir shots: | - classical / phase / ancilla: 0 / 0 / 0"
fa3bb03,fa3bb03b-1a47-4516-a16f-d93700079a2f,e64cdfd16fe9f6d05ff43cab56c0c097f101a37c,e64cdfd16fe9f6d05ff43cab56c0c097f101a37c,jieyilong,rejected,,1146,1408582,1614234972,2026-06-23T20:40:42.615Z,2026-06-23T20:42:27.291Z,True,- classical / phase / ancilla: 0 / 0 / 0 over all 9024 shots
8155bb8,8155bb8b-b0dd-4fdd-a478-e75bc681bd9e,3e3966b7f8d402e957b6b84aef31523335b3bfc9,3e3966b7f8d402e957b6b84aef31523335b3bfc9,jieyilong,rejected,,1147,1396769,1602094043,2026-06-23T18:04:51.733Z,2026-06-23T18:06:33.969Z,True,cls / pha / anc = 0 / 0 / 0 | remote early-reject/full-pass row: ts=2026-06-23T17:37:18+00:00 CLEAN nonce=103382228 shots=9024 cls=0 pha=0 anc=0 tof=1396769.404 qubits=1147 | classical / phase / ancilla = 0 / 0 / 0 over 9024 shots | The smaller correction workspace reduces correctness margin. Dirty nonces show cls/pha residuals because rare correction carries can cross the truncated/reused region. The nonce hunt selects a Fiat-Shamir island where the reduced correction margin is still sufficient for all 9024 benchmark shots.
8e9c9a2,8e9c9a22-a6ec-4950-8c5b-c12aade0bc8e,60d61859fa6965eba53634f91877b1141a6f9dce,ae7676ddb082a83b83b48a4a773987b32c5e6009,gopikannappan,accepted,promoted,1151,1299453,1495670403,2026-07-26T09:19:38.895Z,2026-07-26T09:21:55.494Z,True,official promotion
a536a48,a536a487-235b-4928-8fa5-f4b3d4b87600,f5ff95b26059e0d01b143e67bf93cad2649a3668,b7fafc374a95ca9559c8a9bad6c688ab90de50df,Gajesh2007,accepted,promoted,1158,1292651,1496889858,2026-07-26T08:18:48.722Z,2026-07-26T08:21:07.322Z,True,official promotion
