submission,submission_uuid,source_commit,submission_commit,solver,api_status,promotion_status,q,t,qt,created_at,updated_at
ddb641a,ddb641af-c4f2-4c53-a5e9-9f266a7f4059,d47d4eac1b16a3b50908c3e1cb8ee83934b29b71,d47d4eac1b16a3b50908c3e1cb8ee83934b29b71,manel1874,rejected,,824,192458651,158585928424,2026-07-22T16:42:27.086Z,2026-07-22T16:55:32.772Z
425ac95,425ac958-88d5-45cd-a020-fa966dbb036a,ff5c3d638c64b9114fe41ae49f5765f7401443fe,ff5c3d638c64b9114fe41ae49f5765f7401443fe,gnuchev,rejected,,947,61946637,58663465239,2026-06-22T03:05:25.769Z,2026-06-22T03:12:41.823Z
a3b0148,a3b01488-d4b8-496d-bccd-8f817b4710a5,a203fac0f49819743fa41c4016f390d8d854fac5,a203fac0f49819743fa41c4016f390d8d854fac5,nasqret,rejected,,948,54781961,51933299028,2026-06-21T18:41:07.914Z,2026-06-21T18:46:51.593Z
84e5896,84e5896b-8a84-4368-897c-7dcc0e0c995f,2a17a4b6a990e5ec7118e90ed88b25bba7253c53,2a17a4b6a990e5ec7118e90ed88b25bba7253c53,nasqret,rejected,,965,34069641,32877203565,2026-06-18T08:28:46.643Z,2026-06-18T08:34:01.935Z
3bd88ad,3bd88ad2-30e2-41f2-b5ae-f371ec09b492,70859b05ccc694eb5ae33765f8ce82221d332bf7,70859b05ccc694eb5ae33765f8ce82221d332bf7,jieyilong,rejected,,968,33476041,32404807688,2026-06-18T05:26:45.954Z,2026-06-18T05:30:59.795Z
53dc92c,53dc92c5-4b61-4c0a-848c-9d7954bbfa1a,d37c5185d7602545b8586c0301d98aac34ee3129,d37c5185d7602545b8586c0301d98aac34ee3129,jieyilong,rejected,,973,28328177,27563316221,2026-06-18T03:44:35.618Z,2026-06-18T03:48:18.887Z
f19e8a1,f19e8a1b-9335-4b53-aded-e65e52296a1d,bea70730d25e4551f9020f5fdbfbda22cf9002bd,bea70730d25e4551f9020f5fdbfbda22cf9002bd,gnuchev,rejected,,975,27600081,26910078975,2026-06-21T17:44:23.854Z,2026-06-21T17:48:05.204Z
1c0e0e9,1c0e0e91-de6a-4348-bd4a-3b6351fdc70b,765ef38cd8ce99a3e3800e98a8a60db954d35b8f,765ef38cd8ce99a3e3800e98a8a60db954d35b8f,jieyilong,rejected,,1133,1460511,1654758963,2026-06-27T23:20:43.204Z,2026-06-27T23:22:24.299Z
3d9ce59,3d9ce591-8f26-4b76-8abf-0d41728e3939,370fc319832b78e58d1e139174b58d4a627bddd3,370fc319832b78e58d1e139174b58d4a627bddd3,jieyilong,rejected,,1141,1423723,1624467943,2026-06-24T05:21:53.167Z,2026-06-24T05:23:49.649Z
3ab4f86,3ab4f864-67ae-4aea-957b-bca4e5bd53b4,0cbc2d710814871635ba96463cca47642e7b5899,0cbc2d710814871635ba96463cca47642e7b5899,jieyilong,rejected,,1142,1415790,1616832180,2026-06-24T02:51:21.960Z,2026-06-24T02:53:03.959Z
71b9cc4,71b9cc45-8b14-4655-9b59-d6de5af1ceea,48e6c2319045764511f8fa266c4e7dc471528ef7,48e6c2319045764511f8fa266c4e7dc471528ef7,jieyilong,rejected,,1143,1411643,1613507949,2026-06-23T23:23:57.677Z,2026-06-23T23:25:38.665Z
fa3bb03,fa3bb03b-1a47-4516-a16f-d93700079a2f,e64cdfd16fe9f6d05ff43cab56c0c097f101a37c,e64cdfd16fe9f6d05ff43cab56c0c097f101a37c,jieyilong,rejected,,1146,1408582,1614234972,2026-06-23T20:40:42.615Z,2026-06-23T20:42:27.291Z
8155bb8,8155bb8b-b0dd-4fdd-a478-e75bc681bd9e,3e3966b7f8d402e957b6b84aef31523335b3bfc9,3e3966b7f8d402e957b6b84aef31523335b3bfc9,jieyilong,rejected,,1147,1396769,1602094043,2026-06-23T18:04:51.733Z,2026-06-23T18:06:33.969Z
8e9c9a2,8e9c9a22-a6ec-4950-8c5b-c12aade0bc8e,60d61859fa6965eba53634f91877b1141a6f9dce,ae7676ddb082a83b83b48a4a773987b32c5e6009,gopikannappan,accepted,promoted,1151,1299453,1495670403,2026-07-26T09:19:38.895Z,2026-07-26T09:21:55.494Z
a536a48,a536a487-235b-4928-8fa5-f4b3d4b87600,f5ff95b26059e0d01b143e67bf93cad2649a3668,b7fafc374a95ca9559c8a9bad6c688ab90de50df,Gajesh2007,accepted,promoted,1158,1292651,1496889858,2026-07-26T08:18:48.722Z,2026-07-26T08:21:07.322Z
