submission,submission_uuid,source_commit,submission_commit,solver,api_status,promotion_status,q,t,qt,created_at,updated_at,track,selection_basis,chronology_publication_bucket,chronology_source_state
30c8ded,30c8dede-fa09-466a-b19d-f4d14bc1ad2a,6f7c159b3cc0ce57e9561cf95b35117e0b012ef6,,Chris-Moller,accepted,promoted,2715,3960753,10753444395,2026-05-30T07:41:45.340Z,2026-05-30T07:57:20.258Z,product,Initial promoted baseline selected for the paper's historical display.,not_in_chronology,not_in_chronology
f94f726,f94f726c-39d3-48fc-af71-81c0d808f631,d19dbb5390c11aaaac70e113647dbe07530a5c41,,Gajesh2007,accepted,promoted,2310,3656039,8445450090,2026-05-31T20:03:22.258Z,2026-05-31T20:05:32.735Z,product,Product milestone selected in Teddy Pender's chronology table.,mechanism write-up,source-backed
0620443,06204432-089f-45d1-902c-b7907a252520,233a44c2857b5c19d8df914559daea0744537e8d,,Gajesh2007,accepted,promoted,2025,2560503,5185018575,2026-06-02T02:17:09.830Z,2026-06-02T02:19:19.338Z,product,Product milestone selected in Teddy Pender's chronology table.,mechanism write-up,source-backed
0c1d4d9,0c1d4d95-f3d7-4120-863b-ce6d9934a921,cddd5dfeca39a1f92e957b164a331931b7689e67,,pldallairedemers,accepted,promoted,1698,2447846,4156442508,2026-06-02T06:03:01.557Z,2026-06-02T06:05:11.326Z,product,Product milestone selected in Teddy Pender's chronology table.,mechanism write-up,source-backed
744b274,744b2747-71aa-4d4a-9034-194f69e7352e,68e36539833108ef97eb4692304640faaaef8509,,saucegodbased,accepted,promoted,1572,1770897,2783850084,2026-06-02T10:52:48.551Z,2026-06-02T10:55:02.862Z,product,Product milestone selected in Teddy Pender's chronology table.,mechanism write-up,source-backed
ca1cd1f,ca1cd1f8-15f1-4cbe-a57a-0a0c44e2d84e,0780f6761c4cbc0dd2403b9c4e2daea2321c0095,,johnbxx,accepted,promoted,1394,1629451,2271454694,2026-06-05T05:32:07.044Z,2026-06-05T05:34:48.807Z,product,Product milestone selected in Teddy Pender's chronology table.,mechanism write-up,source-backed
4b7d727,4b7d7272-e0ea-46e1-b3c9-dea22bf95bb6,bfd3fa65a9197fa2e9139c80eb632b76ae63f25c,,BitWonka,accepted,promoted,1300,1404058,1825275400,2026-06-08T08:59:52.128Z,2026-06-08T09:01:35.614Z,product,Product milestone selected in Teddy Pender's chronology table.,mechanism write-up,source-backed
44d7d51,44d7d516-0156-4fe5-98af-b3f2f67113bd,f8d23a96c25b839ae7c380ca5dface8c45c1a079,51d7a80718cc31d5afdde5833441af30b10dbbda,BitWonka,accepted,promoted,1164,1413462,1645269768,2026-06-19T14:31:28.979Z,2026-06-19T14:33:18.395Z,product,Product milestone selected in Teddy Pender's chronology table.,mechanism write-up,source-backed
6c1a65d,6c1a65d4-677c-4bc6-8924-5aaad1ef8e4e,fed64cf6ec83e31d97af62886f842322d8d18860,a3002d2a6ca4e35baf9fa046b41d3a1a69a6bf6d,nasqret,accepted,promoted,1159,1388180,1608900620,2026-06-20T10:18:35.872Z,2026-06-20T10:20:52.454Z,product,Product milestone selected in Teddy Pender's chronology table.,mechanism write-up,source-backed
71f5115,71f51157-ad1f-4e26-862a-c71276c9d096,d44cad386f2e121e2d952edcdcc3693f97d13153,cc49f917c6459b61829c26b9baa65a0b85b80dd9,BitWonka,accepted,promoted,1152,1364230,1571592960,2026-06-26T17:06:51.959Z,2026-06-26T19:12:14.330Z,product,Product milestone at the 2 July chronology cut.,mechanism write-up,source-backed
8e9c9a2,8e9c9a22-a6ec-4950-8c5b-c12aade0bc8e,60d61859fa6965eba53634f91877b1141a6f9dce,ae7676ddb082a83b83b48a4a773987b32c5e6009,gopikannappan,accepted,promoted,1151,1299453,1495670403,2026-07-26T09:19:38.895Z,2026-07-26T09:21:55.494Z,product,"First promoted submission at or below the confirmed 50% comparison threshold, selected from the official API.",not_in_chronology,not_in_chronology
0ce9b13,0ce9b134-a5cf-4194-8247-69f5c3860598,c7a0e1ff96f75ff539869dbbc88ced45a5254fdc,c7a0e1ff96f75ff539869dbbc88ced45a5254fdc,nasqret,rejected,,952,78159965,74408286680,2026-06-19T00:52:13.827Z,2026-06-19T00:59:27.979Z,low_q,Low-qubit foreground row selected for the paper's historical display.,low-Q boundary evidence,source-backed
a77c9da,a77c9dad-e187-45bb-ab67-f4587078628d,a3769967cb326573967c0a0389deb8233f03b114,a3769967cb326573967c0a0389deb8233f03b114,teddyjfpender,rejected,,1019,31051277,31641251263,2026-06-19T22:17:30.905Z,2026-06-19T22:23:11.783Z,low_q,Low-qubit foreground row selected for the paper's historical display.,low-Q/rate material evidence,source/proof-backed
39a9b5f,39a9b5ff-3649-42bf-8ff3-9e7256605196,285741885e944a350fb5bfc22cbe0d5927abea0a,285741885e944a350fb5bfc22cbe0d5927abea0a,nasqret,rejected,,828,448102916,371029214448,2026-06-25T06:14:05.020Z,2026-06-25T06:32:22.895Z,low_q,Low-qubit foreground row selected for the paper's historical display.,low-Q boundary evidence,source-backed
b6f2b0a,b6f2b0a5-2ab7-43be-9031-6fcfb1cf1784,e6d9fa95ab81a3414517030c974e75349912e7ca,e6d9fa95ab81a3414517030c974e75349912e7ca,nasqret,rejected,,825,489161900,403558567500,2026-06-26T15:47:25.659Z,2026-06-26T19:11:37.185Z,low_q,Low-qubit foreground row selected for the paper's historical display.,low-Q boundary evidence,source-backed
